# fco2  tg0  zy  surfalb  OLR  PALB
  5.99640216E-04  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.69628406E+05  2.13300000E-01
  9.99000999E-04  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.67405740E+05  2.13000000E-01
  2.99102692E-03  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.62478969E+05  2.12200000E-01
  5.96421471E-03  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.59041817E+05  2.11600000E-01
  9.90099010E-03  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.55697859E+05  2.11000000E-01
  2.91262136E-02  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.45784520E+05  2.10800000E-01
  5.66037736E-02  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.36348216E+05  2.11400000E-01
  9.09090909E-02  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.27164647E+05  2.14300000E-01
  2.30769231E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.05418325E+05  2.24600000E-01
  3.75000000E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  9.13259579E+04  2.37700000E-01
  5.00000000E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  8.21041347E+04  2.53900000E-01
  6.66666667E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  7.25499095E+04  2.86500000E-01
  7.50000000E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  6.92745324E+04  3.11600000E-01
  8.00000000E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  6.81224241E+04  3.38300000E-01
  8.33333333E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  6.78281900E+04  3.54900000E-01
  8.57142857E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  6.78843049E+04  3.69500000E-01
  8.75000000E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  6.79500000E+04  3.73900000E-01
  8.88888889E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  6.79500000E+04  3.73900000E-01
  9.00000000E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  6.79500000E+04  3.73900000E-01
  9.09090909E-01  2.50000000E+02  0.00000000E+00  2.00000000E-01  6.79500000E+04  3.73900000E-01
  9.99999000E-07  2.65000000E+02  0.00000000E+00  2.00000000E-01  2.12100000E+05  2.04950000E-01
  2.99999100E-06  2.65000000E+02  0.00000000E+00  2.00000000E-01  2.12100000E+05  2.04950000E-01
  5.99996400E-06  2.65000000E+02  0.00000000E+00  2.00000000E-01  2.12100000E+05  2.04950000E-01
  9.99990000E-06  2.65000000E+02  0.00000000E+00  2.00000000E-01  2.12100000E+05  2.04950000E-01
  2.99991000E-05  2.65000000E+02  0.00000000E+00  2.00000000E-01  2.12100000E+05  2.04950000E-01
  5.99964002E-05  2.65000000E+02  0.00000000E+00  2.00000000E-01  2.12100000E+05  2.04950000E-01
  9.99900010E-05  2.65000000E+02  0.00000000E+00  2.00000000E-01  2.10200000E+05  2.04900000E-01
  2.99910027E-04  2.65000000E+02  0.00000000E+00  2.00000000E-01  2.04500000E+05  2.04400000E-01
  5.99640216E-04  2.65000000E+02  0.00000000E+00  2.00000000E-01  2.01050000E+05  2.04000000E-01
  9.99000999E-04  2.65000000E+02  0.00000000E+00  2.00000000E-01  1.98650000E+05  2.03700000E-01
  2.99102692E-03  2.65000000E+02  0.00000000E+00  2.00000000E-01  1.92600000E+05  2.03000000E-01
  5.96421471E-03  2.65000000E+02  0.00000000E+00  2.00000000E-01  1.87950000E+05  2.02500000E-01
